unix timestamp;doserate (uSv/h);lat;lng;wgs84_alt (m.);speed (m/s);cps;cp_2s;horizontal accuracy (radius of 68% confidence [m]);marker type (2-circle, 1-marker);SE (1 σ)[%]
1752939959;0.02455;45.331291199;37.261638641;-0.899999976;1.098417163;2.34685;3.00000;2.1000;2;11.5
1752939961;0.02418;45.331291199;37.261608124;-0.899999976;1.044886112;2.31228;2.00000;2.0000;2;11.5
1752939963;0.02403;45.331283569;37.261573792;-1.000000000;1.085549116;2.29710;2.50000;2.1000;2;11.5
1752939965;0.02323;45.331268311;37.261539459;-0.899999976;1.038194776;2.22129;2.50000;2.0000;2;11.5
1752939967;0.02421;45.331260681;37.261497498;-0.600000024;1.117461920;2.31513;3.00000;2.0000;2;11.5
1752939968;0.02465;45.331264496;37.261463165;-0.100000001;1.148859978;2.35714;2.00000;2.1000;2;11.5
1752939970;0.02439;45.331268311;37.261432648;0.300000012;1.108711720;2.33167;3.50000;2.2000;2;11.5
1752939972;0.02498;45.331264496;37.261390686;0.600000024;1.020179391;2.38857;4.00000;2.1000;2;11.5
1752939974;0.02498;45.331268311;37.261360168;0.899999976;1.017091155;2.38857;3.50000;2.1000;2;11.5
1752939976;0.02591;45.331268311;37.261325836;1.200000048;0.938338637;2.47704;3.50000;2.2000;2;11.5
1752939986;0.03375;45.331230164;37.261188507;2.500000000;0.788039744;3.22667;3.00000;2.1000;2;11.5
1752939994;0.03375;45.331203461;37.261089325;2.099999905;0.620240271;3.22667;2.00000;2.1000;2;11.5
1752939998;0.03254;45.331203461;37.261016846;1.700000048;0.756641686;3.11143;2.00000;2.1000;2;11.5
1752940006;0.02833;45.331188202;37.260890961;1.600000024;0.861130297;2.70905;3.00000;2.2000;2;11.5
1752940010;0.02640;45.331176758;37.260852814;3.299999952;0.695389748;2.52405;2.00000;2.1000;2;11.5
1752940052;0.02412;45.331150055;37.260803223;10.300000191;0.441631675;2.30621;2.00000;1.9000;2;11.5
1752940054;0.02502;45.331157684;37.260765076;11.100000381;0.635681927;2.39236;5.00000;1.9000;2;11.5
1752940056;0.02641;45.331176758;37.260734558;11.300000191;0.828188062;2.52467;6.00000;2.0000;2;11.5
1752940058;0.02772;45.331184387;37.260688782;11.399999619;1.086063862;2.65019;2.50000;2.1000;2;11.5
1752940060;0.02876;45.331192017;37.260646820;10.699999809;1.260040045;2.75000;2.50000;2.0000;2;11.5
1752940064;0.02959;45.331207275;37.260589600;10.500000000;1.321806669;2.82891;3.50000;2.1000;2;11.5
1752940068;0.03090;45.331211090;37.260540009;9.800000191;1.146801114;2.95391;3.00000;2.2000;2;11.5
1752940070;0.02996;45.331211090;37.260501862;9.199999809;1.163786888;2.86478;4.00000;2.1000;2;11.5
1752940074;0.03441;45.331222534;37.260463715;5.900000095;1.160698652;3.28952;3.00000;2.0000;2;11.5
1752940076;0.03263;45.331207275;37.260433197;5.699999809;1.224524140;3.12000;2.00000;1.9000;2;11.5
1752940078;0.03201;45.331203461;37.260395050;5.000000000;1.333645225;3.06087;4.50000;1.9000;2;11.5
1752940080;0.03180;45.331207275;37.260368347;4.400000095;1.314600587;3.04000;3.00000;1.9000;2;11.5
1752940082;0.03090;45.331203461;37.260337830;3.200000048;1.338277817;2.95391;1.50000;2.0000;2;11.5
1752940084;0.03021;45.331203461;37.260303497;1.700000048;1.393353105;2.88870;2.50000;1.9000;2;11.5
1752940088;0.03110;45.331203461;37.260250092;-0.200000003;1.160698652;2.97391;2.00000;1.8000;2;11.5
1752940090;0.03015;45.331203461;37.260204315;-0.600000024;1.222465277;2.88312;2.50000;1.8000;2;11.5
1752940092;0.03232;45.331211090;37.260173798;-0.699999988;1.184890509;3.09043;4.50000;1.8000;2;11.5
1752940094;0.03054;45.331222534;37.260131836;-0.899999976;1.193126082;2.91978;3.50000;1.9000;2;11.5
1752940096;0.02908;45.331226349;37.260105133;-1.399999976;1.254892826;2.78080;1.50000;1.9000;2;11.5
1752940098;0.02690;45.331230164;37.260078430;-1.899999976;1.289893866;2.57231;1.50000;1.9000;2;11.5
1752940102;0.02726;45.331214905;37.260017395;-0.600000024;1.052092195;2.60615;3.00000;1.8000;2;11.5
1752940104;0.02657;45.331211090;37.259975433;-0.100000001;1.018120527;2.54034;3.50000;1.8000;2;11.5
1752940106;0.02608;45.331214905;37.259933472;0.200000003;1.016061664;2.49333;2.00000;1.9000;2;11.5
1752940108;0.02856;45.331222534;37.259883881;-0.500000000;1.080401897;2.73093;5.50000;2.0000;2;11.5
1752940110;0.02991;45.331233978;37.259841919;-0.899999976;1.151433587;2.86000;6.50000;2.0000;2;11.5
1752940112;0.03130;45.331233978;37.259799957;-0.899999976;1.238936424;2.99217;2.50000;1.9000;2;11.5
